SampleID,Locality,Ocean,Class,Order,Family,Genus,species,taxonomy,tree names,55 selected,rank,GenBank#
5Nem1335D03,Belize,Tropical West Atlantic,Hoplonemertea ,Monostilifera,Ototyphlonemertidae,Ototyphlonemertes,santacruzensis,Ototyphlonemertes_santacruzensis,5Nem1335D03,yes,species,KT448337.1
5Nem1335H04,Belize,Tropical West Atlantic,Hoplonemertea ,Monostilifera,Ototyphlonemertidae,Ototyphlonemertes,santacruzensis,Ototyphlonemertes_santacruzensis,5Nem1335H04,yes,species,KT448348.1
5NemJLNA02,Belize,Tropical West Atlantic,Hoplonemertea ,Monostilifera,Ototyphlonemertidae,Ototyphlonemertes,santacruzensis,Ototyphlonemertes_santacruzensis,5NemJLNA02,yes,species,KT448337.1
5NemJLNA08,Belize,Tropical West Atlantic,Hoplonemertea ,Monostilifera,Ototyphlonemertidae,Ototyphlonemertes,lactea,Ototyphlonemertes_lactea,5NemJLNA08,yes,species,KT448288.1
5NemJLNA09,Belize,Tropical West Atlantic,Hoplonemertea ,Monostilifera,Ototyphlonemertidae,Ototyphlonemertes,santacruzensis,Ototyphlonemertes_santacruzensis,5NemJLNA09,yes,species,KT448337.1
5NemJLNB02,Belize,Tropical West Atlantic,Hoplonemertea ,Monostilifera,Ototyphlonemertidae,Ototyphlonemertes,santacruzensis,Ototyphlonemertes_santacruzensis,5NemJLNB02,yes,species,KT448348.1
5NemJLNB08,Belize,Tropical West Atlantic,Hoplonemertea ,Monostilifera,Ototyphlonemertidae,Ototyphlonemertes,lactea,Ototyphlonemertes_lactea,5NemJLNB08,yes,species,KT448288.1
5NemJLNB09,Belize,Tropical West Atlantic,Hoplonemertea ,Monostilifera,Ototyphlonemertidae,Ototyphlonemertes,macintoshi,Ototyphlonemertes_macintoshi,5NemJLNB09,yes,species,KT448326.1
5NemJLND02,Belize,Tropical West Atlantic,Hoplonemertea ,Monostilifera,Ototyphlonemertidae,Ototyphlonemertes,macintoshi,Ototyphlonemertes_macintoshi,5NemJLND02,yes,species,KT448326.1
5NemJLND05,Belize,Tropical West Atlantic,Hoplonemertea ,Monostilifera,Ototyphlonemertidae,Ototyphlonemertes,lactea,Ototyphlonemertes_lactea,5NemJLND05,yes,species,KT448288.1
5NemJLND06,Belize,Tropical West Atlantic,Hoplonemertea ,Monostilifera,Ototyphlonemertidae,Ototyphlonemertes,erneba,Ototyphlonemertes_erneba,5NemJLND06,yes,species,KT427994.1
5NemJLND11,Belize,Tropical West Atlantic,Hoplonemertea ,Monostilifera,Ototyphlonemertidae,Ototyphlonemertes,santacruzensis,Ototyphlonemertes_santacruzensis,5NemJLND11,yes,species,KT448337.1
5NemJLNE02,Belize,Tropical West Atlantic,Hoplonemertea ,Monostilifera,Ototyphlonemertidae,Ototyphlonemertes,lactea,Ototyphlonemertes_lactea,5NemJLNE02,yes,species,KT448288.1
5NemJLNE05,Belize,Tropical West Atlantic,Hoplonemertea ,Monostilifera,Ototyphlonemertidae,Ototyphlonemertes,lactea,Ototyphlonemertes_lactea,5NemJLNE05,yes,species,KT448288.1
5NemJLNE06,Belize,Tropical West Atlantic,Hoplonemertea ,Monostilifera,Ototyphlonemertidae,Ototyphlonemertes,erneba,Ototyphlonemertes_erneba,5NemJLNE06,yes,species,KT427994.1
5NemJLNE07,Belize,Tropical West Atlantic,Hoplonemertea ,Monostilifera,Ototyphlonemertidae,Ototyphlonemertes,lactea,Ototyphlonemertes_lactea,5NemJLNE07,yes,species,KT448288.1
5NemJLNE08,Belize,Tropical West Atlantic,Hoplonemertea ,Monostilifera,Ototyphlonemertidae,Ototyphlonemertes,lactea,Ototyphlonemertes_lactea,5NemJLNE08,yes,species,KT448288.1
5NemJLNF02,Belize,Tropical West Atlantic,Hoplonemertea ,Monostilifera,Ototyphlonemertidae,Ototyphlonemertes,macintoshi,Ototyphlonemertes_macintoshi,5NemJLNF02,yes,species,KT448326.1
5NemJLNF03,Belize,Tropical West Atlantic,Hoplonemertea ,Monostilifera,Ototyphlonemertidae,Ototyphlonemertes,santacruzensis,Ototyphlonemertes_santacruzensis,5NemJLNF03,yes,species,KT448337.1
5NemJLNF06,Belize,Tropical West Atlantic,Hoplonemertea ,Monostilifera,Ototyphlonemertidae,Ototyphlonemertes,lactea,Ototyphlonemertes_lactea,5NemJLNF06,yes,species,KT448288.1
5NemJLNF07,Belize,Tropical West Atlantic,Hoplonemertea ,Monostilifera,Ototyphlonemertidae,Ototyphlonemertes,lactea,Ototyphlonemertes_lactea,5NemJLNF07,yes,species,KT448288.1
5NemJLNF08,Belize,Tropical West Atlantic,Hoplonemertea ,Monostilifera,Ototyphlonemertidae,Ototyphlonemertes,macintoshi,Ototyphlonemertes_macintoshi,5NemJLNF08,yes,species,KT448326.1
5NemJLNG01,Belize,Tropical West Atlantic,Hoplonemertea ,Monostilifera,Ototyphlonemertidae,Ototyphlonemertes,santacruzensis,Ototyphlonemertes_santacruzensis,5NemJLNG01,yes,species,KT448337.1
5NemJLNG02,Belize,Tropical West Atlantic,Hoplonemertea ,Monostilifera,Ototyphlonemertidae,Ototyphlonemertes,lactea,Ototyphlonemertes_lactea,5NemJLNG02,yes,species,KT448288.1
5NemJLNG03,Belize,Tropical West Atlantic,Hoplonemertea ,Monostilifera,Ototyphlonemertidae,Ototyphlonemertes,santacruzensis,Ototyphlonemertes_santacruzensis,5NemJLNG03,yes,species,KT448347.1
5NemJLNG06,Belize,Tropical West Atlantic,Hoplonemertea ,Monostilifera,Ototyphlonemertidae,Ototyphlonemertes,macintoshi,Ototyphlonemertes_macintoshi,5NemJLNG06,yes,species,KT448326.1
5NemJLNH01,Belize,Tropical West Atlantic,Hoplonemertea ,Monostilifera,Ototyphlonemertidae,Ototyphlonemertes,santacruzensis,Ototyphlonemertes_santacruzensis,5NemJLNH01,yes,species,KT448348.1
6NemgenAnnuloB03,Bocas del Toro,Tropical West Atlantic,Hoplonemertea ,Monostilifera,Tetrastemmatidae ,Annulonemertes,sp,Annulonemertes_sp,6NemgenAnnuloB03,yes,genus,red
6NemgenAnnuloD02,Bocas del Toro,Tropical West Atlantic,Paleonemertea,Archinemertea ,Cephalothricidae,Cephalothrix,sp,Cephalothrix_sp,6NemgenAnnuloD02,yes,genus,blue
6NemgenAnnuloE02,Bocas del Toro,Tropical West Atlantic,Hoplonemertea ,Monostilifera,Tetrastemmatidae ,Annulonemertes,sp,Annulonemertes_sp,6NemgenAnnuloE02,yes,genus,red
6NemgenCephaloA08,Bocas del Toro,Tropical West Atlantic,Paleonemertea,Archinemertea ,Cephalothricidae,Cephalothrix,sp,Cephalothrix_sp,6NemgenCephaloA08,yes,genus,blue
6NemgenCephaloD07,Bocas del Toro,Tropical West Atlantic,Paleonemertea,Archinemertea ,Cephalothricidae,Cephalothrix,sp,Cephalothrix_sp,6NemgenCephaloD07,yes,genus,blue
6NemgenHubrechtellaC05,Bocas del Toro,Tropical West Atlantic,Pilidiophora ,Hubrechtiiformes,Hubrechtidae,Hubrechtella,sp,Hubrechtella_sp,6NemgenHubrechtellaC05,yes,genus,brown
6NemgenOtotyphA01,Bocas del Toro,Tropical West Atlantic,Hoplonemertea ,Monostilifera,Ototyphlonemertidae,Ototyphlonemertes,santacruzensis,Ototyphlonemertes_santacruzensis,6NemgenOtotyphA01,yes,species,orange
6NemgenOtotyphC07,Bocas del Toro,Tropical West Atlantic,Hoplonemertea ,Monostilifera,Ototyphlonemertidae,Ototyphlonemertes,erneba,Ototyphlonemertes_erneba,6NemgenOtotyphC07,yes,species,MH302963.1
6NemgenOtotyphE08,Bocas del Toro,Tropical West Atlantic,Hoplonemertea ,Monostilifera,Ototyphlonemertidae,Ototyphlonemertes,erneba,Ototyphlonemertes_erneba,6NemgenOtotyphE08,yes,species,MH302963.1
6NemgenOtotyphH03,Bocas del Toro,Tropical West Atlantic,Hoplonemertea ,Monostilifera,Ototyphlonemertidae,Ototyphlonemertes,santacruzensis,Ototyphlonemertes_santacruzensis,6NemgenOtotyphH03,yes,species,purple
7NemPanA01,Panama-Naos,Tropical East Pacific,Paleonemertea,Archinemertea ,Cephalothricidae,Cephalothrix,sp,Cephalothrix_sp,7NemPanA01,yes,genus,blue
7NemPanA11,Panama-Naos,Tropical East Pacific,Pilidiophora,Heteronemertea,Lineidae,Micrura,sp,Micrura_sp,7NemPanA11,yes,genus,green
7NemPanB03,Panama-Naos,Tropical East Pacific,Hoplonemertea ,Monostilifera,Ototyphlonemertidae,Ototyphlonemertes,duplex,Ototyphlonemertes_duplex,7NemPanB03,yes,species,orange
7NemPanB04,Panama-Naos,Tropical East Pacific,Paleonemertea,Archinemertea ,Cephalothricidae,Cephalothrix,sp,Cephalothrix_sp,7NemPanB04,yes,genus,blue
7NemPanB05,Panama-Naos,Tropical East Pacific,Pilidiophora ,Hubrechtiiformes,Hubrechtidae,Hubrechtella,sp,Hubrechtella_sp,7NemPanB05,yes,genus,brown
7NemPanB06,Panama-Naos,Tropical East Pacific,Pilidiophora,Heteronemertea,Lineidae,Micrura,sp,Micrura_sp,7NemPanB06,yes,genus,green
7NemPanB07,Panama-Naos,Tropical East Pacific,Pilidiophora,Heteronemertea,Lineidae,Micrura,sp,Micrura_sp,7NemPanB07,yes,genus,green
7NemPanB08,Panama-Naos,Tropical East Pacific,Pilidiophora,Heteronemertea,Lineidae,Micrura,sp,Micrura_sp,7NemPanB08,yes,genus,green
7NemPanB09,Panama-Naos,Tropical East Pacific,Hoplonemertea ,Monostilifera,Ototyphlonemertidae,Ototyphlonemertes,cirrula,Ototyphlonemertes_cirrula,7NemPanB09,yes,species,orange
7NemPanC07,Panama-Naos,Tropical East Pacific,Paleonemertea,Archinemertea ,Cephalothricidae,Cephalothrix,sp,Cephalothrix_sp,7NemPanC07,yes,genus,blue
7NemPanC09,Panama-Naos,Tropical East Pacific,Paleonemertea,Archinemertea ,Cephalothricidae,Cephalothrix,sp,Cephalothrix_sp,7NemPanC09,yes,genus,blue
7NemPanC11,Panama-Naos,Tropical East Pacific,Pilidiophora ,Hubrechtiiformes ,Hubrechtidae,Hubrechtella,sp,Hubrechtella_sp,7NemPanC11,yes,genus,brown
7NemPanD01,Panama-Naos,Tropical East Pacific,Hoplonemertea ,Monostilifera ,Acteonemertidae,Leptonemertes ,sp,Leptonemertes _sp,7NemPanD01,yes,genus,cyan
7NemPanD04,Panama-Naos,Tropical East Pacific,Hoplonemertea ,Monostilifera,NA,NA,NA,NA,7NemPanD04,yes,none,black
7NemPanD09,Panama-Naos,Tropical East Pacific,Paleonemertea,Archinemertea ,Cephalothricidae,Cephalothrix,sp,Cephalothrix_sp,7NemPanD09,yes,genus,blue
7NemPanE06,Panama-Naos,Tropical East Pacific,Hoplonemertea ,Monostilifera,Ototyphlonemertidae,Ototyphlonemertes,sp,Ototyphlonemertes_sp,7NemPanE06,yes,genus,black
7NemPanF06,Panama-Naos,Tropical East Pacific,Hoplonemertea ,Monostilifera ,Acteonemertidae,Leptonemertes ,sp,Leptonemertes _sp,7NemPanF06,yes,genus,cyan
8NemgenPoseidonH04,Panama-Achotines,Tropical East Pacific,Hoplonemertea ,Monostilifera,Amphiporidae,Poseidonemertes,sp,Poseidonemertes_sp,8NemgenPoseidonH04,yes,genus,magenta
